user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDLC0008fe2a4d7,18-24,Tier 3,2024-11-26,Premium,,2024-12-26,Free
UIDLC0008ff6f3a7,18-24,Tier 1,2024-05-23,Premium,,2024-06-23,Free
UIDLC0009f86256c,18-24,Tier 3,2024-11-12,Free,,,
UIDLC000a3b3d473,45+,Tier 1,2024-06-28,Basic,,,
UIDLC000a9e6b6a6,18-24,Tier 1,2024-10-12,Premium,,,
UIDLC000aa683663,35-44,Tier 3,2024-07-29,Free,2024-09-21,,
UIDLC000bfd02a65,35-44,Tier 3,2024-11-09,Premium,,,
UIDLC000cbd3e983,45+,Tier 2,2024-11-23,Premium,,,
UIDLC000cdec312f,18-24,Tier 1,2024-11-19,Free,,,
UIDLC000cef855a6,35-44,Tier 3,2024-09-10,Free,2024-10-24,,
UIDLC000cf9b43c5,18-24,Tier 2,2024-04-29,Basic,,2024-05-29,Free
UIDLC000d82ad2ce,35-44,Tier 2,2024-10-22,Free,,,
UIDLC000dd98d581,18-24,Tier 3,2024-10-08,Basic,2024-10-29,,
UIDLC000e0328b8b,18-24,Tier 1,2024-08-27,Free,,,
UIDLC000e508c8d4,35-44,Tier 1,2024-01-07,Premium,,2024-02-07,Free
UIDLC000f8a6beb3,18-24,Tier 3,2024-10-20,Premium,,,
UIDLC000fd2a57ab,18-24,Tier 3,2024-10-24,Free,,,
UIDLC00106ee5847,18-24,Tier 1,2024-11-23,Free,,,
UIDLC0010a663b62,18-24,Tier 2,2024-09-16,Free,,,
UIDLC0011639e353,18-24,Tier 2,2024-11-02,Premium,,,
UIDLC001170cb631,35-44,Tier 1,2024-08-12,Basic,,,
UIDLC0011b3a7b01,18-24,Tier 3,2024-09-06,Free,2024-10-15,,
UIDLC0011c1440b2,25-34,Tier 1,2024-10-03,Premium,,,
UIDLC0011d826ccb,18-24,Tier 2,2024-01-29,Basic,,,
UIDLC00139b214a9,18-24,Tier 2,2024-09-26,Free,,,
UIDLC001408883ad,18-24,Tier 2,2024-10-31,Basic,2024-11-23,,
UIDLC001498bbc22,18-24,Tier 1,2024-09-15,Free,2024-11-09,,
UIDLC001499d2034,18-24,Tier 3,2024-08-04,Basic,,,
UIDLC00152c4ccac,45+,Tier 2,2024-09-04,Basic,,2024-10-04,Premium
UIDLC00156ab9cf2,18-24,Tier 3,2024-08-03,Premium,,,
UIDLC0015721887b,18-24,Tier 2,2024-11-20,Free,,,
UIDLC00159ad44f3,25-34,Tier 3,2024-11-19,Free,2024-12-09,,
UIDLC0015c7b7668,45+,Tier 3,2024-09-22,Free,2024-11-06,,
UIDLC00162fdff4b,35-44,Tier 2,2024-03-11,Free,2024-04-13,,
UIDLC001663862f4,25-34,Tier 2,2024-10-19,Free,,,
UIDLC0016a8d6045,35-44,Tier 2,2024-09-18,Basic,2024-11-10,,
UIDLC0016c3e5fe4,45+,Tier 3,2024-10-03,Basic,,,
UIDLC00186846c7c,25-34,Tier 1,2024-06-28,Free,2024-12-21,,
UIDLC00187e7cfd3,18-24,Tier 3,2024-11-08,Premium,,,
UIDLC00196f5d170,25-34,Tier 2,2024-08-29,Basic,,,
UIDLC0019a6c5f7b,18-24,Tier 1,2024-01-21,Basic,,2024-03-21,Free
UIDLC0019df2ba5c,35-44,Tier 2,2024-08-19,Basic,,,
UIDLC0019e41c4cc,35-44,Tier 1,2024-11-23,Basic,,2024-12-23,Free
UIDLC001a37fee3e,35-44,Tier 2,2024-07-19,Free,,,
UIDLC001a7464a7f,45+,Tier 1,2024-01-27,Free,2024-08-09,,
UIDLC001aa641afa,45+,Tier 3,2024-11-06,Free,2024-11-26,,
UIDLC001c40f6b88,45+,Tier 3,2024-10-27,Basic,,,
UIDLC001cdea2e39,35-44,Tier 3,2024-05-12,Free,2024-07-03,,
UIDLC001d378b37f,18-24,Tier 1,2024-11-02,Basic,,,
UIDLC001d83ac330,25-34,Tier 1,2024-09-14,Premium,2024-11-03,,
UIDLC001da056e5b,25-34,Tier 1,2024-05-31,Premium,,2024-06-30,Free
UIDLC001dd6588b6,25-34,Tier 3,2024-11-09,Free,,,
UIDLC001e25e5412,25-34,Tier 1,2024-05-18,Free,2024-07-01,,
UIDLC001e44e0a82,25-34,Tier 3,2024-03-27,Free,2024-05-24,,
UIDLC001e939fff1,25-34,Tier 2,2024-08-17,Free,,,
UIDLC001ea306f09,45+,Tier 2,2024-09-13,Free,2024-10-30,,
UIDLC002030bb4c3,45+,Tier 3,2024-06-26,Free,2024-07-28,,
UIDLC00209ce4dbb,45+,Tier 3,2024-10-17,Basic,,,
UIDLC0020a4ff2d3,35-44,Tier 2,2024-11-18,Free,,,
UIDLC0020aea38d1,25-34,Tier 2,2024-06-06,Free,,,
UIDLC0021b335883,18-24,Tier 2,2024-09-22,Free,,,
UIDLC0021bf28d2d,18-24,Tier 3,2024-03-31,Basic,,2024-05-31,Free
UIDLC002224c6450,18-24,Tier 3,2024-05-16,Basic,,,
UIDLC00227435827,18-24,Tier 2,2024-10-20,Basic,,,
UIDLC0022de33900,45+,Tier 2,2024-11-24,Basic,,,
UIDLC002330a5061,25-34,Tier 1,2024-11-09,Basic,,,
UIDLC00233a80d1a,25-34,Tier 3,2024-11-22,Free,,,
UIDLC00234bc793b,35-44,Tier 2,2024-11-11,Free,,,
UIDLC00245f83608,45+,Tier 2,2024-03-09,Premium,,2024-04-09,Basic
UIDLC0024debdc4f,35-44,Tier 3,2024-08-13,Premium,,2024-10-13,Free
UIDLC00252159056,18-24,Tier 2,2024-09-27,Basic,2024-11-11,,
UIDLC0026081a6f9,18-24,Tier 3,2024-02-08,Free,2024-03-25,,
UIDLC002662490e9,18-24,Tier 3,2024-07-21,Premium,,2024-08-21,Free
UIDLC0026c4f28c1,25-34,Tier 3,2024-10-06,Free,2024-10-27,,
UIDLC002821b55b2,25-34,Tier 1,2024-08-30,Basic,2024-10-14,,
UIDLC00288b2a050,18-24,Tier 1,2024-11-24,Premium,,2024-12-24,Free
UIDLC00290853923,25-34,Tier 1,2024-08-15,Free,,2024-11-15,Premium
UIDLC002920ef748,18-24,Tier 3,2024-07-31,Basic,2024-09-25,,
UIDLC0029e3a21d7,25-34,Tier 1,2024-03-20,Premium,2024-06-20,,
UIDLC002a682e93e,18-24,Tier 3,2024-11-07,Premium,,,
UIDLC002b4a7fe19,45+,Tier 3,2024-11-18,Free,,,
UIDLC002b61bf9b2,18-24,Tier 3,2024-10-23,Free,,,
UIDLC002d4f7ccf1,18-24,Tier 3,2024-06-19,Basic,2024-07-29,,
UIDLC002d5d5276b,18-24,Tier 3,2024-02-15,Free,2024-04-28,,
UIDLC002d92e3e98,45+,Tier 3,2024-04-17,Basic,,,
UIDLC002da397111,18-24,Tier 2,2024-03-24,Basic,,2024-05-24,Free
UIDLC002e909d71b,35-44,Tier 2,2024-06-20,Basic,2024-07-29,,
UIDLC002ed1848fe,18-24,Tier 2,2024-07-05,Free,,,
UIDLC002f25d1f60,25-34,Tier 2,2024-08-27,Basic,,,
UIDLC002fc99bcee,25-34,Tier 3,2024-05-08,Free,2024-10-20,,
UIDLC003049e9ec6,25-34,Tier 1,2024-11-05,Basic,,,
UIDLC00307ba00a1,45+,Tier 1,2024-09-18,Basic,,,
UIDLC0030a78371e,18-24,Tier 2,2024-04-02,Free,2024-05-13,,
UIDLC0030b60d8f6,35-44,Tier 3,2024-11-21,Free,2024-12-17,,
UIDLC0031aa4e77e,35-44,Tier 3,2024-06-12,Basic,,2024-08-12,Free
UIDLC00322643599,18-24,Tier 2,2024-09-21,Free,,,
UIDLC0032691a774,25-34,Tier 1,2024-08-28,Premium,,2024-10-28,Free
UIDLC0032c9a42f2,18-24,Tier 2,2024-07-23,Free,2024-09-15,,
UIDLC0032ed4db6c,18-24,Tier 3,2024-06-11,Basic,,,
UIDLC00332b4a7f7,25-34,Tier 2,2024-08-20,Basic,2024-09-23,,
UIDLC0033c97eb10,35-44,Tier 2,2024-05-09,Premium,,2024-07-09,Basic
UIDLC0033d1c6ff8,35-44,Tier 2,2024-06-29,Free,,,
UIDLC003428744f2,18-24,Tier 3,2024-10-20,Free,2024-11-14,,
UIDLC003473cea21,45+,Tier 1,2024-07-25,Free,,2024-10-25,Basic
UIDLC003473e74cd,35-44,Tier 2,2024-09-15,Basic,,2024-10-15,Free
UIDLC00358632b7b,18-24,Tier 1,2024-09-24,Basic,,,
UIDLC0035956f743,18-24,Tier 3,2024-05-30,Basic,2024-07-12,,
UIDLC0035bdedc9c,35-44,Tier 1,2024-07-16,Basic,2024-08-29,,
UIDLC0036215c9d0,18-24,Tier 3,2024-11-22,Free,,,
UIDLC0036529c87a,45+,Tier 1,2024-11-23,Free,,,
UIDLC00365e031ac,18-24,Tier 2,2024-02-21,Free,2024-07-15,,
UIDLC003663675b7,35-44,Tier 1,2024-09-10,Premium,,,
UIDLC003739b1bb8,25-34,Tier 2,2024-11-04,Free,,,
UIDLC003816fc509,18-24,Tier 2,2024-02-08,Basic,,,
UIDLC003a50551df,18-24,Tier 3,2024-07-08,Free,2024-08-07,,
UIDLC003b28060fe,45+,Tier 2,2024-11-13,Free,,,
UIDLC003b80180d6,25-34,Tier 2,2024-10-25,Free,,,
UIDLC003d297e07f,35-44,Tier 1,2024-09-08,Free,2024-10-16,,
UIDLC003d3e64e7e,18-24,Tier 3,2024-11-29,Free,,,
UIDLC003d41916a9,18-24,Tier 3,2024-11-25,Free,,,
UIDLC003d55eba39,35-44,Tier 3,2024-07-12,Basic,,2024-11-12,Premium
UIDLC003e4b7f923,18-24,Tier 3,2024-07-25,Free,,,
UIDLC003f061aab8,25-34,Tier 1,2024-03-16,Basic,,,
UIDLC003f7fc5124,18-24,Tier 2,2024-05-01,Premium,,,
UIDLC00406f3021c,25-34,Tier 1,2024-11-01,Free,,,
UIDLC0040a2d3d42,45+,Tier 1,2024-10-13,Free,,,
UIDLC00416b3ec21,18-24,Tier 3,2024-11-09,Free,,,
UIDLC00417e6445d,18-24,Tier 3,2024-07-31,Free,2024-09-13,,
UIDLC0041961d6aa,18-24,Tier 3,2024-09-24,Free,2024-11-21,,
UIDLC00428b55a0e,35-44,Tier 3,2024-08-12,Free,,,
UIDLC0042baaec4e,25-34,Tier 2,2024-11-17,Free,2024-12-16,,
UIDLC0042ddeada1,25-34,Tier 3,2024-09-06,Free,,,
UIDLC004379d14ba,25-34,Tier 2,2024-11-24,Premium,2024-12-14,,
UIDLC0044675183a,25-34,Tier 2,2024-10-10,Basic,2024-11-01,,
UIDLC00452dd39aa,35-44,Tier 2,2024-06-20,Basic,,,
UIDLC0046d9aa581,25-34,Tier 1,2024-10-30,Basic,,,
UIDLC00470943e8b,25-34,Tier 3,2024-08-08,Free,,,
UIDLC00473326cb3,18-24,Tier 2,2024-06-08,Free,2024-07-15,,
UIDLC0047d9f318b,18-24,Tier 3,2024-08-25,Free,2024-12-03,,
UIDLC00486239029,25-34,Tier 2,2024-10-11,Free,,2024-12-11,Basic
UIDLC00489baaa5b,35-44,Tier 3,2024-08-18,Premium,2024-10-07,,
UIDLC0048dd39cc6,25-34,Tier 2,2024-03-23,Free,2024-04-26,,
UIDLC0048e758c9d,25-34,Tier 2,2024-05-14,Basic,2024-06-19,,
UIDLC00493370b95,18-24,Tier 2,2024-10-05,Free,2024-10-31,,
UIDLC0049bf939f7,18-24,Tier 1,2024-07-31,Basic,,,
UIDLC004a71de3bb,18-24,Tier 3,2024-07-19,Free,,,
UIDLC004ab7d1577,18-24,Tier 3,2024-09-08,Free,2024-10-16,,
UIDLC004b020f26a,18-24,Tier 3,2024-07-07,Free,2024-08-21,,
UIDLC004bbe76777,45+,Tier 1,2024-11-25,Premium,,,
UIDLC004bf88379f,25-34,Tier 2,2024-07-15,Free,,,
UIDLC004ca4b99b4,18-24,Tier 1,2024-04-16,Basic,2024-05-18,,
UIDLC004cd6d3b1d,45+,Tier 3,2024-11-27,Basic,,,
UIDLC004d0b8e761,25-34,Tier 2,2024-10-05,Free,,,
UIDLC004d5e04b36,25-34,Tier 3,2024-11-15,Free,,,
UIDLC004d812d4b8,18-24,Tier 2,2024-11-19,Free,,,
UIDLC004da81a74f,35-44,Tier 2,2024-10-10,Free,,,
UIDLC004e8fa0df5,18-24,Tier 3,2024-06-04,Free,,,
UIDLC004ed4f09c3,18-24,Tier 3,2024-01-27,Free,2024-07-03,,
UIDLC0050286958a,35-44,Tier 3,2024-01-08,Free,2024-03-09,,
UIDLC00502dd9de9,18-24,Tier 2,2024-05-02,Free,2024-09-01,,
UIDLC0050bc5cef4,25-34,Tier 1,2024-09-15,Free,2024-11-12,,
UIDLC0051ae28e1a,18-24,Tier 3,2024-04-30,Basic,,2024-06-30,Free
UIDLC005272250c5,45+,Tier 1,2024-02-21,Premium,,2024-06-21,Free
UIDLC005295e0929,35-44,Tier 1,2024-11-05,Premium,,,
UIDLC005317c3975,35-44,Tier 2,2024-07-26,Free,2024-12-04,,
UIDLC00531cc830d,25-34,Tier 1,2024-10-22,Premium,,2024-11-22,Free
UIDLC00532306ac1,25-34,Tier 3,2024-09-30,Basic,,,
UIDLC0053c91cb92,18-24,Tier 1,2024-07-11,Free,,2024-08-11,Basic
UIDLC0053fb8b8ca,35-44,Tier 2,2024-11-09,Free,,,
UIDLC00541283d66,18-24,Tier 3,2024-11-08,Basic,2024-12-03,,
UIDLC0055af1bdda,25-34,Tier 3,2024-09-20,Basic,2024-11-14,,
UIDLC00566802433,25-34,Tier 3,2024-07-05,Free,2024-08-07,,
UIDLC0056c72d58d,25-34,Tier 3,2024-06-29,Free,,,
UIDLC0056d8b84a9,35-44,Tier 3,2024-05-25,Free,2024-07-16,,
UIDLC00571c6986f,18-24,Tier 3,2024-10-15,Free,2024-11-10,,
UIDLC0057916c510,18-24,Tier 3,2024-11-18,Free,,,
UIDLC005863ff9d8,25-34,Tier 3,2024-02-27,Basic,2024-09-29,,
UIDLC005917f357e,45+,Tier 2,2024-09-12,Basic,,,
UIDLC005a3c14ccb,18-24,Tier 1,2024-11-15,Premium,,2024-12-15,Free
UIDLC005a9fbfedc,18-24,Tier 3,2024-11-14,Premium,,2024-12-14,Basic
UIDLC005bbae7653,18-24,Tier 2,2024-06-11,Basic,2024-07-11,,
UIDLC005bcbb9a38,35-44,Tier 2,2024-08-13,Free,2024-09-24,,
UIDLC005bcff9e4e,25-34,Tier 3,2024-10-16,Free,,,
UIDLC005c7380905,35-44,Tier 1,2024-03-12,Free,2024-04-25,,
UIDLC005cfcfffdf,18-24,Tier 1,2024-11-28,Premium,,2024-12-28,Free
UIDLC005d6a82579,18-24,Tier 1,2024-03-03,Free,2024-04-12,,
UIDLC005d92b24be,25-34,Tier 3,2024-10-16,Free,,,
UIDLC005dbe614ba,25-34,Tier 2,2024-09-28,Free,2024-11-19,,
UIDLC005e3785ad0,18-24,Tier 3,2024-11-02,Free,,,
UIDLC005ecf46374,18-24,Tier 2,2024-04-20,Free,2024-06-07,,
UIDLC005f1ccf54b,45+,Tier 1,2024-11-05,Premium,,,
UIDLC005f493d73f,35-44,Tier 3,2024-11-26,Free,,,
UIDLC005fd1b5258,25-34,Tier 2,2024-01-29,Basic,2024-03-01,,
UIDLC00600459553,18-24,Tier 2,2024-03-01,Free,2024-04-05,,
UIDLC0060270983d,18-24,Tier 3,2024-11-15,Premium,,,
UIDLC00604a1411e,18-24,Tier 1,2024-11-22,Basic,,,
UIDLC0060af70ee5,18-24,Tier 2,2024-10-24,Premium,,,
UIDLC0060c59c4e4,18-24,Tier 3,2024-07-17,Free,,,
UIDLC0060ee8ed28,35-44,Tier 2,2024-09-24,Basic,,,
UIDLC00613b3c827,35-44,Tier 2,2024-01-20,Basic,,,
UIDLC0061e7904fa,25-34,Tier 2,2024-05-25,Free,2024-09-21,,
UIDLC006278ea3ff,18-24,Tier 2,2024-02-02,Free,2024-04-21,,
UIDLC0062abb48a0,25-34,Tier 2,2024-10-23,Free,,,
UIDLC0062d4b64b1,18-24,Tier 3,2024-09-14,Free,2024-11-07,,
UIDLC0062fbf5418,18-24,Tier 1,2024-07-22,Free,2024-09-16,,
UIDLC00631758907,18-24,Tier 1,2024-06-21,Basic,2024-08-06,,
UIDLC006379021a2,25-34,Tier 3,2024-10-26,Free,,,
UIDLC0063d59ace4,18-24,Tier 3,2024-11-08,Free,,,
UIDLC006462f3eef,25-34,Tier 3,2024-10-12,Free,2024-11-09,,
UIDLC0064d1dfd84,18-24,Tier 3,2024-11-04,Premium,,2024-12-04,Basic
UIDLC0065e1e931d,25-34,Tier 3,2024-11-06,Free,,,
UIDLC0065f5496f8,18-24,Tier 2,2024-11-03,Premium,,,
UIDLC00665203a31,35-44,Tier 2,2024-03-22,Premium,2024-05-10,,
UIDLC0066609a2b8,35-44,Tier 2,2024-11-17,Basic,,,
UIDLC0066bd5fc08,25-34,Tier 2,2024-06-16,Free,,,
UIDLC0066cf54118,35-44,Tier 3,2024-11-30,Free,,,
UIDLC00672cff070,25-34,Tier 2,2024-08-12,Free,2024-10-18,,
UIDLC00681fa6c06,25-34,Tier 2,2024-09-16,Basic,,,
UIDLC006869882cc,25-34,Tier 1,2024-10-09,Premium,,,
UIDLC0068ebcaea9,25-34,Tier 3,2024-08-14,Free,,,
UIDLC00692f126ff,25-34,Tier 2,2024-07-24,Basic,,2024-09-24,Premium
UIDLC006977b5998,35-44,Tier 3,2024-07-03,Premium,,2024-09-03,Basic
UIDLC0069b14c326,45+,Tier 1,2024-10-07,Basic,,2024-11-07,Free
UIDLC006af8b1716,35-44,Tier 3,2024-10-13,Premium,2024-11-02,,
UIDLC006b3858328,18-24,Tier 3,2024-09-30,Basic,,2024-10-30,Free
UIDLC006b5629ca9,35-44,Tier 2,2024-09-11,Premium,2024-11-02,,
UIDLC006c4522604,35-44,Tier 3,2024-11-06,Free,,,
UIDLC006c45d3156,45+,Tier 3,2024-02-24,Free,2024-05-16,,
UIDLC006c85dc2b3,25-34,Tier 3,2024-01-26,Basic,2024-06-28,,
UIDLC006d5d70962,18-24,Tier 3,2024-09-17,Basic,,,
UIDLC006dc7523f0,18-24,Tier 3,2024-11-16,Free,,,
UIDLC006dccf676a,18-24,Tier 3,2024-01-21,Free,2024-07-27,,
UIDLC006e501afab,18-24,Tier 2,2024-03-07,Free,2024-04-29,,
UIDLC006e54c9947,18-24,Tier 2,2024-03-11,Basic,,2024-09-11,Free
UIDLC006e8f3a857,18-24,Tier 3,2024-11-16,Premium,,2024-12-16,Free
UIDLC006f4069b8d,45+,Tier 3,2024-04-16,Free,,,
UIDLC006f50aa15d,18-24,Tier 2,2024-11-12,Basic,,,
UIDLC006fb4bc3c8,25-34,Tier 3,2024-08-02,Free,,,
UIDLC006fe1f56de,25-34,Tier 3,2024-09-30,Free,,,
UIDLC0070eadbb62,18-24,Tier 2,2024-11-29,Free,2024-12-20,,
UIDLC00712273292,18-24,Tier 3,2024-08-30,Basic,2024-10-17,,
UIDLC00717e239d8,18-24,Tier 3,2024-08-14,Free,2024-09-25,,
UIDLC007192ba3be,25-34,Tier 1,2024-03-29,Premium,2024-05-18,,
UIDLC0071aaefc7d,18-24,Tier 2,2024-09-14,Free,,,
UIDLC0071fa19276,18-24,Tier 3,2024-05-19,Free,2024-06-21,,
UIDLC00725b99bf8,25-34,Tier 3,2024-09-20,Free,2024-11-09,,
UIDLC0072644e46e,35-44,Tier 1,2024-06-26,Basic,,,
UIDLC0072a49090f,18-24,Tier 2,2024-07-21,Basic,2024-10-25,,
UIDLC0072c63945e,18-24,Tier 2,2024-08-13,Free,2024-09-23,,
UIDLC0072dd9db4c,25-34,Tier 3,2024-08-07,Free,2024-10-02,,
UIDLC0073091b752,18-24,Tier 1,2024-06-20,Basic,,,
UIDLC0073633e7c2,35-44,Tier 2,2024-10-17,Free,,,
UIDLC007498d6faa,18-24,Tier 1,2024-09-22,Free,,,
UIDLC00750e3a34a,45+,Tier 2,2024-05-18,Free,2024-06-20,,
UIDLC0075c066db2,35-44,Tier 1,2024-07-17,Free,,2024-10-17,Basic
UIDLC0075eaaa644,35-44,Tier 3,2024-11-13,Free,,,
UIDLC007610193a9,25-34,Tier 2,2024-11-28,Basic,,,
UIDLC0076b4eef7f,25-34,Tier 2,2024-10-20,Basic,,,
UIDLC0076f862079,18-24,Tier 2,2024-01-30,Free,2024-11-01,,
UIDLC00771692e61,45+,Tier 3,2024-09-04,Free,2024-10-14,,
UIDLC0077717dc47,18-24,Tier 3,2024-08-15,Basic,2024-10-02,,
UIDLC00789329db3,25-34,Tier 2,2024-09-11,Free,2024-11-19,,
UIDLC0078d33e1dc,35-44,Tier 3,2024-11-25,Basic,,,
UIDLC007931415d3,35-44,Tier 2,2024-05-23,Basic,,2024-09-23,Premium
UIDLC007983df31b,45+,Tier 2,2024-09-08,Free,2024-10-12,,
UIDLC007a6a56fcb,18-24,Tier 3,2024-10-05,Free,,,
UIDLC007a890d309,18-24,Tier 3,2024-02-11,Free,2024-03-18,,
UIDLC007ab252a8a,45+,Tier 1,2024-09-20,Basic,,,
UIDLC007abc784c5,25-34,Tier 1,2024-10-07,Basic,,,
UIDLC007af8b625b,25-34,Tier 1,2024-09-09,Basic,,,
UIDLC007b9ab7ddc,35-44,Tier 3,2024-10-25,Free,2024-11-19,,
UIDLC007be8f84c0,25-34,Tier 2,2024-11-16,Basic,2024-12-14,,
UIDLC007bed0ab63,45+,Tier 3,2024-06-03,Basic,,2024-07-03,Free
UIDLC007c149a293,45+,Tier 1,2024-10-06,Free,,,
UIDLC007c288863c,18-24,Tier 3,2024-09-14,Basic,2024-10-27,,
UIDLC007c348e7e4,25-34,Tier 2,2024-01-21,Basic,,2024-03-21,Free
UIDLC007c4732727,18-24,Tier 2,2024-11-29,Basic,,2024-12-29,Free
UIDLC007cb7acb57,25-34,Tier 1,2024-11-26,Premium,,,
UIDLC007cd1f4a29,25-34,Tier 3,2024-06-07,Basic,,,
UIDLC007cebba2f6,25-34,Tier 3,2024-10-11,Free,,,
UIDLC007d436a918,18-24,Tier 2,2024-06-07,Basic,2024-07-20,,
UIDLC007d46fccf4,18-24,Tier 3,2024-08-30,Premium,,2024-10-30,Free
UIDLC007d5120a57,18-24,Tier 1,2024-06-11,Free,,,
UIDLC007d636f774,18-24,Tier 2,2024-10-13,Basic,2024-11-08,,
UIDLC007d8cf8c90,18-24,Tier 2,2024-11-17,Free,,,
UIDLC007dad26604,18-24,Tier 3,2024-07-29,Basic,,2024-08-29,Free
UIDLC007e154e2c9,25-34,Tier 2,2024-09-11,Basic,,2024-11-11,Free
UIDLC007e496a8af,35-44,Tier 3,2024-10-02,Free,,,
UIDLC007e79bd7bf,25-34,Tier 3,2024-08-03,Basic,,2024-10-03,Free
UIDLC007e910315b,18-24,Tier 1,2024-05-23,Free,2024-07-07,,
UIDLC007ebf9dd5a,18-24,Tier 3,2024-11-20,Basic,2024-12-14,,
UIDLC007f5d1f49e,18-24,Tier 1,2024-05-19,Free,,,
UIDLC007facba434,18-24,Tier 3,2024-07-13,Free,,,
UIDLC007fe0f1b63,18-24,Tier 2,2024-11-12,Premium,,,
UIDLC008002c444f,18-24,Tier 3,2024-06-21,Free,2024-10-22,,
UIDLC0080a79fdca,25-34,Tier 3,2024-09-27,Free,2024-11-24,,
UIDLC00813693ad4,18-24,Tier 2,2024-10-31,Premium,,2024-11-30,Free
UIDLC008185d141d,18-24,Tier 2,2024-04-07,Basic,2024-06-01,,
UIDLC0081d6cd096,35-44,Tier 1,2024-11-11,Free,,,
UIDLC0081f3df9db,18-24,Tier 2,2024-10-26,Basic,,,
UIDLC00825dfbefe,18-24,Tier 2,2024-02-02,Premium,,2024-03-02,Free
UIDLC008306c2107,18-24,Tier 2,2024-07-17,Free,,,
UIDLC008311ee8b0,25-34,Tier 1,2024-09-17,Basic,2024-11-08,,
UIDLC008377435b7,45+,Tier 1,2024-08-04,Premium,,,
UIDLC00849348991,45+,Tier 2,2024-08-04,Free,2024-09-09,,
UIDLC0084c42f2cb,25-34,Tier 2,2024-09-20,Free,2024-11-09,,
UIDLC0085fb0bc33,18-24,Tier 1,2024-04-26,Premium,,2024-06-26,Free
UIDLC00865f1da7d,18-24,Tier 2,2024-11-18,Basic,,,
UIDLC00869a4abcd,25-34,Tier 2,2024-08-14,Basic,,,
UIDLC0086b7ddb54,45+,Tier 3,2024-06-17,Free,2024-08-14,,
UIDLC008724be5cf,45+,Tier 3,2024-08-03,Free,,,
UIDLC00873b3b3f8,35-44,Tier 3,2024-04-10,Free,2024-07-09,,
UIDLC0087eea40a7,25-34,Tier 1,2024-11-09,Basic,2024-12-05,,
UIDLC0087fbe4e88,18-24,Tier 1,2024-10-24,Free,,,
UIDLC008813a1293,45+,Tier 2,2024-06-02,Premium,,2024-08-02,Basic
UIDLC0088249fd03,45+,Tier 1,2024-08-15,Basic,,,
UIDLC00887a5501a,35-44,Tier 1,2024-06-11,Free,,,
UIDLC00890c0cc63,45+,Tier 1,2024-11-06,Basic,,,
UIDLC008929f2b8d,25-34,Tier 3,2024-10-26,Free,,,
UIDLC0089693296b,18-24,Tier 2,2024-08-29,Free,2024-10-17,,
UIDLC00897727b09,18-24,Tier 2,2024-07-03,Basic,2024-08-15,,
UIDLC0089e41ffe7,35-44,Tier 2,2024-09-12,Basic,,2024-12-12,Free
UIDLC008a1fa621b,25-34,Tier 2,2024-11-18,Free,,,
UIDLC008a630b0b8,35-44,Tier 2,2024-09-16,Basic,,,
UIDLC008a7332df3,25-34,Tier 3,2024-02-24,Basic,,,
UIDLC008a86aa4fd,18-24,Tier 1,2024-04-17,Premium,,,
UIDLC008aeca2b60,18-24,Tier 1,2024-03-12,Premium,2024-04-24,,
UIDLC008b0a6ffc0,45+,Tier 2,2024-11-21,Free,,,
